수집시간,요일,도서관명,열람실명,전체좌석,사용좌석,잔여좌석
2026-04-05 09:00:02,Sunday,논현도서관,집중학습실,62,7,55
2026-04-05 09:00:02,Sunday,논현도서관,노트북전용석,8,0,8
2026-04-05 09:00:02,Sunday,논현도서관,복도열람석,4,0,4
2026-04-05 09:00:02,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 09:00:02,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 09:00:02,Sunday,대치도서관,노트북석,12,0,12
2026-04-05 09:00:02,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 09:00:02,Sunday,대치도서관,집중열람실,78,19,59
2026-04-05 09:00:02,Sunday,도곡정보문화도서관,5층 제1열람실,108,0,108
2026-04-05 09:00:02,Sunday,도곡정보문화도서관,6층 제2열람실,136,20,116
2026-04-05 09:00:02,Sunday,도곡정보문화도서관,6층 제3열람실,86,15,71
2026-04-05 09:00:02,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 09:00:02,Sunday,못골도서관,1층 노트북석,8,0,8
2026-04-05 09:00:02,Sunday,못골도서관,1.5층 계단 열람석,36,0,36
2026-04-05 09:00:02,Sunday,못골도서관,2층 열람석,30,0,30
2026-04-05 09:00:02,Sunday,역삼2동작은도서관,집중학습실,46,5,41
2026-04-05 09:00:02,Sunday,역삼푸른솔도서관,열람실,70,6,64
2026-04-05 09:00:02,Sunday,역삼푸른솔도서관,노트북실,12,0,12
2026-04-05 09:30:02,Sunday,논현도서관,집중학습실,62,9,53
2026-04-05 09:30:02,Sunday,논현도서관,노트북전용석,8,1,7
2026-04-05 09:30:02,Sunday,논현도서관,복도열람석,4,0,4
2026-04-05 09:30:02,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 09:30:02,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 09:30:02,Sunday,대치도서관,노트북석,12,11,1
2026-04-05 09:30:02,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 09:30:02,Sunday,대치도서관,집중열람실,78,26,52
